Data/hora, TI, TE, TREF, Intensidade
22-03-2021 15:49:16, 79.760742, 19.577221, 58.000000, -100.000000
22-03-2021 15:49:19, 79.169922, 26.306875, 58.000000, -100.000000
22-03-2021 15:49:21, 79.760742, 26.308172, 58.000000, -100.000000
22-03-2021 15:49:23, 81.157227, 26.310442, 58.000000, -100.000000
22-03-2021 15:49:26, 81.103516, 26.313038, 58.000000, -100.000000
22-03-2021 15:49:28, 79.492188, 26.315308, 58.000000, -100.000000
22-03-2021 15:49:30, 76.269531, 26.317902, 58.000000, -100.000000
22-03-2021 15:49:33, 75.732422, 26.319199, 58.000000, -100.000000
22-03-2021 15:49:35, 73.315430, 26.320496, 58.000000, -100.000000
22-03-2021 15:49:37, 72.133789, 26.322117, 58.000000, -100.000000
22-03-2021 15:49:40, 71.113281, 26.323090, 58.000000, -100.000000
22-03-2021 15:49:42, 71.220703, 26.323414, 58.000000, -100.000000
22-03-2021 15:49:44, 70.361328, 26.323414, 58.000000, -100.000000
22-03-2021 15:49:47, 69.555664, 26.323414, 58.000000, -100.000000
22-03-2021 15:49:49, 68.212891, 26.323738, 58.000000, -100.000000
22-03-2021 15:49:51, 66.440430, 26.323414, 58.000000, -100.000000
22-03-2021 15:49:54, 66.601562, 26.323090, 58.000000, -100.000000
22-03-2021 15:49:56, 66.601562, 26.323090, 58.000000, -100.000000
22-03-2021 15:49:58, 65.742188, 26.323414, 58.000000, -100.000000
22-03-2021 15:50:01, 65.043945, 26.324062, 58.000000, -100.000000
22-03-2021 15:50:03, 63.217773, 26.325035, 58.000000, -100.000000
22-03-2021 15:50:05, 63.110352, 26.326332, 58.000000, -100.000000
22-03-2021 15:50:08, 61.499023, 26.327305, 58.000000, -100.000000
22-03-2021 15:50:10, 59.941406, 26.326981, 58.000000, -100.000000
22-03-2021 15:50:12, 59.296875, 26.326981, 58.000000, -100.000000
22-03-2021 15:50:15, 59.404297, 26.326981, 58.000000, -100.000000
22-03-2021 15:50:17, 60.102539, 26.326656, 58.000000, -100.000000
22-03-2021 15:50:19, 61.069336, 26.325359, 58.000000, -100.000000
22-03-2021 15:50:22, 60.639648, 26.324711, 58.000000, -100.000000
22-03-2021 15:50:24, 57.309570, 26.323414, 58.000000, -87.263672
22-03-2021 15:50:26, 55.698242, 26.321793, 66.000000, -20.751953
22-03-2021 15:50:29, 54.838867, 26.319847, 66.000000, 1.248047
22-03-2021 15:50:31, 54.301758, 26.318874, 66.000000, 25.181641
22-03-2021 15:50:33, 55.322266, 26.317902, 66.000000, 34.666992
22-03-2021 15:50:36, 56.235352, 26.316929, 66.000000, 54.733398
22-03-2021 15:50:38, 56.181641, 26.315956, 66.000000, 74.638672
22-03-2021 15:50:40, 56.289062, 26.314983, 66.000000, 93.523438
22-03-2021 15:50:43, 58.061523, 26.314011, 66.000000, 97.315430
22-03-2021 15:50:45, 58.383789, 26.313038, 66.000000, 100.000000
22-03-2021 15:50:47, 59.028320, 26.311739, 66.000000, 100.000000
22-03-2021 15:50:50, 60.048828, 26.310118, 66.000000, 100.000000
22-03-2021 15:50:52, 59.995117, 26.308496, 66.000000, 100.000000
22-03-2021 15:50:54, 59.780273, 26.307524, 66.000000, 100.000000
22-03-2021 15:50:57, 60.317383, 26.306551, 66.000000, 100.000000
22-03-2021 15:50:59, 60.209961, 26.307199, 66.000000, 100.000000
22-03-2021 15:51:01, 59.619141, 26.308821, 66.000000, 100.000000
22-03-2021 15:51:04, 60.961914, 26.310118, 66.000000, 100.000000
22-03-2021 15:51:06, 61.660156, 26.312714, 66.000000, 100.000000
22-03-2021 15:51:08, 63.056641, 26.315632, 66.000000, 100.000000
22-03-2021 15:51:11, 63.110352, 26.319199, 66.000000, 100.000000
22-03-2021 15:51:13, 63.969727, 26.323414, 66.000000, 100.000000
22-03-2021 15:51:15, 63.916016, 26.326981, 66.000000, 100.000000
22-03-2021 15:51:18, 65.151367, 26.331520, 66.000000, 98.066406
22-03-2021 15:51:20, 65.473633, 26.336060, 66.000000, 100.000000
22-03-2021 15:51:22, 67.407227, 26.340275, 66.000000, 81.888672
22-03-2021 15:51:25, 68.159180, 26.344492, 66.000000, 83.478516
22-03-2021 15:51:27, 66.547852, 26.349031, 66.000000, 90.439453
22-03-2021 15:51:29, 68.159180, 26.354219, 66.000000, 78.064453
22-03-2021 15:51:32, 67.031250, 26.359083, 66.000000, 81.641602
22-03-2021 15:51:34, 68.535156, 26.364920, 66.000000, 70.770508
22-03-2021 15:51:36, 70.146484, 26.370756, 66.000000, 45.827148
22-03-2021 15:51:39, 72.294922, 26.375946, 66.000000, 21.958008
22-03-2021 15:51:41, 72.402344, 26.381134, 66.000000, 18.928711
22-03-2021 15:51:43, 73.154297, 26.385998, 66.000000, 1.397461
22-03-2021 15:51:46, 73.208008, 26.390213, 66.000000, -13.287109
22-03-2021 15:51:48, 73.906250, 26.393131, 66.000000, -32.590820
22-03-2021 15:51:50, 75.893555, 26.395401, 66.000000, -66.611328
22-03-2021 15:51:53, 77.397461, 26.397346, 66.000000, -97.570312
22-03-2021 15:51:55, 77.558594, 26.399940, 66.000000, -100.000000
22-03-2021 15:51:57, 76.752930, 26.402536, 66.000000, -100.000000
22-03-2021 15:52:00, 74.121094, 26.405130, 66.000000, -100.000000
22-03-2021 15:52:02, 74.282227, 26.408049, 66.000000, -100.000000
22-03-2021 15:52:04, 73.315430, 26.410318, 66.000000, -100.000000
22-03-2021 15:52:07, 73.208008, 26.412588, 66.000000, -100.000000
22-03-2021 15:52:09, 73.852539, 26.414858, 66.000000, -100.000000
22-03-2021 15:52:12, 73.798828, 26.417452, 66.000000, -100.000000
22-03-2021 15:52:14, 74.765625, 26.420046, 66.000000, -100.000000
22-03-2021 15:52:16, 74.443359, 26.423288, 66.000000, -100.000000
22-03-2021 15:52:19, 73.798828, 26.424910, 66.000000, -100.000000
22-03-2021 15:52:21, 71.596680, 26.425882, 66.000000, -100.000000
22-03-2021 15:52:23, 71.166992, 26.426207, 66.000000, -100.000000
22-03-2021 15:52:26, 71.435547, 26.425882, 66.000000, -100.000000
22-03-2021 15:52:28, 69.555664, 26.425558, 66.000000, -100.000000
22-03-2021 15:52:30, 68.481445, 26.425234, 66.000000, -100.000000
22-03-2021 15:52:33, 69.179688, 26.424910, 66.000000, -100.000000
22-03-2021 15:52:35, 69.555664, 26.425558, 66.000000, -100.000000
22-03-2021 15:52:37, 68.803711, 26.426207, 66.000000, -100.000000
22-03-2021 15:52:40, 67.568359, 26.425882, 66.000000, -100.000000
22-03-2021 15:52:42, 65.581055, 26.424910, 66.000000, -92.652344
22-03-2021 15:52:44, 65.688477, 26.424261, 66.000000, -97.830078
22-03-2021 15:52:47, 65.688477, 26.423937, 66.000000, -96.669922
22-03-2021 15:52:49, 65.634766, 26.423288, 66.000000, -95.456055
22-03-2021 15:52:51, 63.754883, 26.423937, 66.000000, -81.834961
22-03-2021 15:52:54, 63.593750, 26.423288, 66.000000, -76.216797
22-03-2021 15:52:56, 63.808594, 26.422964, 66.000000, -72.908203
22-03-2021 15:52:58, 63.110352, 26.422964, 66.000000, -57.836914
22-03-2021 15:53:01, 62.949219, 26.423613, 66.000000, -57.536133
22-03-2021 15:53:03, 61.982422, 26.422316, 66.000000, -41.605469
22-03-2021 15:53:05, 63.056641, 26.421019, 66.000000, -50.220703
22-03-2021 15:53:08, 61.391602, 26.419722, 66.000000, -27.307617
22-03-2021 15:53:10, 60.961914, 26.419397, 66.000000, -15.083008
22-03-2021 15:53:12, 60.156250, 26.419397, 66.000000, 0.632812
22-03-2021 15:53:15, 61.821289, 26.420046, 66.000000, -0.838867
22-03-2021 15:53:17, 61.337891, 26.419397, 66.000000, 14.715820
22-03-2021 15:53:19, 61.552734, 26.418749, 66.000000, 19.259766
22-03-2021 15:53:22, 62.412109, 26.418749, 66.000000, 19.775391
22-03-2021 15:53:24, 62.841797, 26.418100, 66.000000, 26.521484
22-03-2021 15:53:26, 63.647461, 26.417128, 66.000000, 29.346680
22-03-2021 15:53:29, 63.701172, 26.416479, 66.000000, 33.675781
22-03-2021 15:53:31, 66.547852, 26.415182, 66.000000, 18.346680
22-03-2021 15:53:33, 66.977539, 26.414209, 66.000000, 9.946289
22-03-2021 15:53:36, 66.333008, 26.413885, 66.000000, 20.452148
22-03-2021 15:53:38, 67.192383, 26.413237, 66.000000, 7.110352
22-03-2021 15:53:40, 66.171875, 26.412264, 66.000000, 20.248047
22-03-2021 15:53:43, 66.171875, 26.411615, 66.000000, 14.801758
22-03-2021 15:53:45, 65.527344, 26.410643, 66.000000, 18.969727
22-03-2021 15:53:47, 66.225586, 26.409670, 66.000000, 15.027344
22-03-2021 15:53:50, 67.729492, 26.407724, 66.000000, 1.470703
22-03-2021 15:53:52, 66.708984, 26.406103, 66.000000, 12.459961
22-03-2021 15:53:54, 65.688477, 26.404158, 66.000000, 17.165039
22-03-2021 15:53:57, 66.225586, 26.402212, 66.000000, 6.777344
22-03-2021 15:53:59, 68.212891, 26.399940, 66.000000, -4.899414
22-03-2021 15:54:01, 69.394531, 26.397671, 66.000000, -17.596680
22-03-2021 15:54:04, 71.328125, 26.395725, 66.000000, -37.920898
22-03-2021 15:54:06, 70.737305, 26.393780, 66.000000, -43.796875
22-03-2021 15:54:08, 68.320312, 26.392159, 66.000000, -27.490234
22-03-2021 15:54:11, 69.125977, 26.391510, 66.000000, -53.078125
22-03-2021 15:54:13, 69.018555, 26.390537, 66.000000, -54.120117
22-03-2021 15:54:15, 69.287109, 26.390537, 66.000000, -62.574219
22-03-2021 15:54:18, 67.998047, 26.390213, 66.000000, -60.125000
22-03-2021 15:54:20, 67.299805, 26.390862, 66.000000, -59.233398
22-03-2021 15:54:22, 66.279297, 26.390862, 66.000000, -54.689453
22-03-2021 15:54:25, 66.333008, 26.392159, 66.000000, -57.987305
22-03-2021 15:54:27, 66.010742, 26.391834, 66.000000, -52.154297
