Data/hora, TI, TE, TREF, Intensidade
22-03-2021 16:28:04, 46.835938, 26.347410, 47.000000, -98.851562
22-03-2021 16:28:06, 47.480469, 26.346437, 47.000000, -100.000000
22-03-2021 16:28:08, 47.856445, 26.345140, 47.000000, -100.000000
22-03-2021 16:28:11, 48.017578, 26.344168, 47.000000, -100.000000
22-03-2021 16:28:13, 47.426758, 26.342871, 47.000000, -99.179688
22-03-2021 16:28:15, 47.534180, 26.341572, 47.000000, -100.000000
22-03-2021 16:28:18, 47.534180, 26.341248, 47.000000, -100.000000
22-03-2021 16:28:20, 46.835938, 26.340275, 47.000000, -98.851562
22-03-2021 16:28:22, 46.030273, 26.339302, 47.000000, -92.239258
22-03-2021 16:28:25, 45.385742, 26.338329, 47.000000, -84.015625
22-03-2021 16:28:27, 45.708008, 26.338005, 47.000000, -87.554688
22-03-2021 16:28:29, 44.580078, 26.337032, 47.000000, -70.952148
22-03-2021 16:28:32, 44.418945, 26.336384, 47.000000, -70.624023
22-03-2021 16:28:34, 44.633789, 26.336060, 47.000000, -66.965820
22-03-2021 16:28:36, 44.418945, 26.334763, 47.000000, -60.729492
22-03-2021 16:28:39, 45.170898, 26.334438, 47.000000, -60.831055
22-03-2021 16:28:41, 44.848633, 26.334438, 47.000000, -58.784180
22-03-2021 16:28:43, 44.472656, 26.334114, 47.000000, -45.511719
22-03-2021 16:28:46, 45.761719, 26.333790, 47.000000, -56.516602
22-03-2021 16:28:48, 44.687500, 26.333141, 47.000000, -35.778320
22-03-2021 16:28:50, 43.613281, 26.333466, 47.000000, -29.004883
22-03-2021 16:28:53, 42.915039, 26.333466, 47.000000, -17.343750
22-03-2021 16:28:55, 41.572266, 26.333790, 47.000000, 0.225586
22-03-2021 16:28:57, 42.646484, 26.333790, 47.000000, 1.627930
22-03-2021 16:29:00, 45.224609, 26.333466, 47.000000, -15.607422
22-03-2021 16:29:02, 45.224609, 26.333466, 47.000000, 0.833984
22-03-2021 16:29:04, 44.687500, 26.333466, 47.000000, 10.292969
22-03-2021 16:29:07, 44.418945, 26.333790, 47.000000, 14.112305
22-03-2021 16:29:09, 43.881836, 26.333790, 47.000000, 23.034180
22-03-2021 16:29:11, 44.042969, 26.334438, 47.000000, 28.142578
22-03-2021 16:29:14, 43.720703, 26.335087, 47.000000, 35.238281
22-03-2021 16:29:16, 44.150391, 26.336060, 47.000000, 38.413086
22-03-2021 16:29:19, 45.278320, 26.336384, 47.000000, 33.853516
22-03-2021 16:29:21, 46.030273, 26.336384, 47.000000, 34.665039
22-03-2021 16:29:23, 45.493164, 26.336708, 47.000000, 44.124023
22-03-2021 16:29:26, 44.848633, 26.337681, 47.000000, 51.649414
22-03-2021 16:29:28, 45.117188, 26.338329, 47.000000, 54.072266
22-03-2021 16:29:30, 46.943359, 26.339302, 47.000000, 44.410156
22-03-2021 16:29:33, 46.567383, 26.340275, 47.000000, 49.464844
22-03-2021 16:29:35, 45.224609, 26.341898, 47.000000, 63.220703
22-03-2021 16:29:37, 45.493164, 26.343195, 47.000000, 57.103516
22-03-2021 16:29:40, 46.567383, 26.343843, 47.000000, 49.643555
22-03-2021 16:29:42, 47.050781, 26.345465, 47.000000, 52.496094
22-03-2021 16:29:44, 48.554688, 26.346113, 47.000000, 41.867188
22-03-2021 16:29:47, 48.823242, 26.346762, 47.000000, 36.877930
22-03-2021 16:29:49, 50.541992, 26.347086, 47.000000, 20.555664
22-03-2021 16:29:51, 50.541992, 26.347410, 47.000000, 14.277344
22-03-2021 16:29:54, 50.649414, 26.347734, 47.000000, 6.011719
22-03-2021 16:29:56, 49.091797, 26.348059, 47.000000, 16.383789
22-03-2021 16:29:58, 49.252930, 26.349031, 47.000000, 3.284180
22-03-2021 16:30:01, 48.554688, 26.350328, 47.000000, 3.666016
22-03-2021 16:30:03, 48.715820, 26.351625, 47.000000, -0.571289
22-03-2021 16:30:05, 50.112305, 26.353571, 47.000000, -16.141602
22-03-2021 16:30:08, 52.421875, 26.354544, 47.000000, -44.817383
22-03-2021 16:30:10, 53.173828, 26.355192, 47.000000, -52.384766
22-03-2021 16:30:12, 54.248047, 26.356813, 47.000000, -72.789062
22-03-2021 16:30:15, 52.797852, 26.357786, 47.000000, -71.762695
22-03-2021 16:30:17, 52.744141, 26.359407, 47.000000, -82.982422
22-03-2021 16:30:19, 51.347656, 26.359732, 47.000000, -84.695312
22-03-2021 16:30:22, 51.723633, 26.360704, 47.000000, -90.866211
22-03-2021 16:30:24, 51.938477, 26.360380, 47.000000, -100.000000
22-03-2021 16:30:26, 50.219727, 26.360704, 47.000000, -99.018555
22-03-2021 16:30:29, 49.790039, 26.361353, 47.000000, -100.000000
22-03-2021 16:30:31, 49.575195, 26.361677, 47.000000, -100.000000
22-03-2021 16:30:33, 49.306641, 26.362326, 47.000000, -100.000000
22-03-2021 16:30:36, 50.541992, 26.362001, 47.000000, -100.000000
22-03-2021 16:30:38, 51.401367, 26.362001, 47.000000, -100.000000
22-03-2021 16:30:40, 49.843750, 26.362326, 47.000000, -100.000000
22-03-2021 16:30:43, 50.488281, 26.362001, 47.000000, -100.000000
22-03-2021 16:30:45, 50.649414, 26.361677, 47.000000, -100.000000
22-03-2021 16:30:47, 50.541992, 26.361677, 47.000000, -100.000000
22-03-2021 16:30:50, 49.951172, 26.361677, 47.000000, -100.000000
22-03-2021 16:30:52, 48.500977, 26.361029, 47.000000, -100.000000
22-03-2021 16:30:54, 48.125000, 26.360704, 47.000000, -100.000000
22-03-2021 16:30:57, 46.245117, 26.360704, 47.000000, -92.997070
22-03-2021 16:30:59, 46.513672, 26.360056, 47.000000, -96.589844
22-03-2021 16:31:01, 46.137695, 26.359407, 47.000000, -90.138672
22-03-2021 16:31:04, 46.621094, 26.358435, 47.000000, -95.611328
22-03-2021 16:31:06, 45.708008, 26.357462, 47.000000, -86.044922
22-03-2021 16:31:08, 45.600586, 26.357138, 47.000000, -82.708984
22-03-2021 16:31:11, 44.257812, 26.356489, 47.000000, -70.510742
22-03-2021 16:31:13, 43.720703, 26.355192, 47.000000, -59.547852
22-03-2021 16:31:15, 43.344727, 26.354219, 47.000000, -51.001953
22-03-2021 16:31:18, 42.592773, 26.353247, 47.000000, -37.299805
22-03-2021 16:31:20, 42.861328, 26.352922, 47.000000, -35.199219
22-03-2021 16:31:22, 42.915039, 26.352274, 47.000000, -25.955078
22-03-2021 16:31:25, 43.828125, 26.351950, 47.000000, -24.176758
22-03-2021 16:31:27, 44.365234, 26.351950, 47.000000, -21.592773
22-03-2021 16:31:29, 44.418945, 26.351301, 47.000000, -17.773438
22-03-2021 16:31:32, 44.956055, 26.350977, 47.000000, -17.176758
22-03-2021 16:31:34, 45.332031, 26.351301, 47.000000, -14.539062
22-03-2021 16:31:36, 44.042969, 26.350653, 47.000000, 4.856445
22-03-2021 16:31:39, 43.613281, 26.350328, 47.000000, 7.333008
22-03-2021 16:31:41, 42.216797, 26.349356, 47.000000, 23.881836
22-03-2021 16:31:43, 43.237305, 26.348383, 47.000000, 26.304688
22-03-2021 16:31:46, 43.452148, 26.347410, 47.000000, 32.326172
22-03-2021 16:31:48, 45.869141, 26.346437, 47.000000, 21.213867
22-03-2021 16:31:50, 46.674805, 26.345789, 47.000000, 16.224609
22-03-2021 16:31:53, 48.071289, 26.345140, 47.000000, 5.541992
22-03-2021 16:31:55, 47.587891, 26.345140, 47.000000, 15.699219
22-03-2021 16:31:57, 48.286133, 26.345789, 47.000000, 7.218750
22-03-2021 16:32:00, 46.567383, 26.346762, 47.000000, 16.677734
22-03-2021 16:32:02, 48.178711, 26.347410, 47.000000, 6.263672
22-03-2021 16:32:05, 47.910156, 26.347086, 62.000000, 100.000000
22-03-2021 16:32:07, 47.050781, 26.346437, 62.000000, 100.000000
22-03-2021 16:32:09, 46.459961, 26.346113, 62.000000, 100.000000
22-03-2021 16:32:12, 45.708008, 26.345789, 62.000000, 100.000000
